,County,Implemented,Year,value,Long,Lat
1,Bay County,2002,1992,51.813,-85.63,30.24
2,Meixco Beach,2001,1992,13.5,-85.406361,29.941336
3,Panama City Beach,2009,1992,60.444,-85.805489,30.176592
4,Dania Beach,2011,1992,62.118,-80.14393,26.05231
5,Deerfield Beach,2000,1992,63,-80.088615,26.329422
6,Fort Lauderdale,2003,1992,63,-80.137314,26.12243
7,Hallandale Beach,2001,1992,63,-80.146024,25.986719
8,Hillsboro Beach,2007,1992,61.846,-82.35,27.91
9,Hollywoord,2011,1992,63,-80.142967,26.01128
10,Lauderdale By the Sea,2002,1992,63,-80.09643,26.19203
11,Pompano Beach,1999,1992,63,-80.122948,26.24354
12,Marco Island,1998,1992,61.789,-81.714722,25.940556
13,Jacksonville beach,2000,1992,63,-81.655647,30.332184
14,Neptune Beach,1999,1992,62.735,-81.396606,30.312866
15,Escambia COunty,2013,1992,63,-87.240372,30.433283
16,Flagler COunty,2001,1992,3.8,-81.3,29.47
17,Franklin County,1998,1992,0,-84.82,29.8
18,GUlf COunty,2001,1992,0.529,-85.24,29.9
19,Bonita SPrings,2001,1992,62.889,-81.7787,26.33981
20,Sanibel,1997,1992,30.167,-82.111511,26.443398
21,Anna Maria Island,2003,1992,54.438,-82.719,27.513
22,Bradenton ,1998,1992,63,-82.574821,27.498928
23,Golden Beach,1997,1992,63,-80.122481,25.964869
24,Miami Beach,2006,1992,63,-80.191788,25.761681
25,Sunny Isles Beach,2009,1992,63,-80.12166618,25.93832958
26,Village of Key Biscayne,2009,1992,54.789,-80.165059,25.6908507
27,Key West,1995,1992,56.778,-81.779984,24.555059
28,Marathon,1994,1992,57.842,-81.081161,24.723757
29,Monroe,1994,1992,0,-80.9372932,25.3128967
30,Village of Islamorada,1998,1992,24.286,-80.60816423,24.93482959
31,Destin,2004,1992,60.125,-86.495781,30.393534
32,Juno Beach,1998,1992,59.059,-80.05822,26.89307
33,Belleair Beach,2008,1992,63,-82.839377,27.924748
34,Clearwater,1999,1992,63,-82.796745,27.972572
35,Indian Shores,1994,1992,62,-82.83932998,27.85032993
36,Pinelals County,2004,1992,63,-82.74,27.9
37,Redington Shores,2007,1992,63,-82.8249967,27.82349671
38,St. Pete Beach,2007,1992,63,-82.741943,27.724722
39,Treasure Island,1999,1992,63,-82.759659,27.745003
40,St. Augustine Beach,1995,1992,60.941,-81.312431,29.901243
41,St. Johns County,1996,1992,46.917,-81.41,29.91
42,Santa Rosa,2005,1992,7.744,-86.2288322,30.3960324
43,City of Sarasota,1999,1992,63,-82.546144,27.3370523
44,Sarasota County,1997,1992,1.813,-82.3331489,27.166997
45,New Smyrna Beach,1999,1992,63,-82.528267,27.341274
46,Walton,2009,1992,62.313,-86.617928,30.418776
47,Bay County,2002,1993,56.529,-85.63,30.24
48,Meixco Beach,2001,1993,17.939,-85.406361,29.941336
49,Panama City Beach,2009,1993,58.485,-85.805489,30.176592
50,Dania Beach,2011,1993,63,-80.14393,26.05231
51,Deerfield Beach,2000,1993,63,-80.088615,26.329422
52,Fort Lauderdale,2003,1993,63,-80.137314,26.12243
53,Hallandale Beach,2001,1993,63,-80.146024,25.986719
54,Hillsboro Beach,2007,1993,62.306,-82.35,27.91
55,Hollywoord,2011,1993,63,-80.142967,26.01128
56,Lauderdale By the Sea,2002,1993,63,-80.09643,26.19203
57,Pompano Beach,1999,1993,63,-80.122948,26.24354
58,Marco Island,1998,1993,61.423,-81.714722,25.940556
59,Jacksonville beach,2000,1993,63,-81.655647,30.332184
60,Neptune Beach,1999,1993,61.194,-81.396606,30.312866
61,Escambia COunty,2013,1993,63,-87.240372,30.433283
62,Flagler COunty,2001,1993,1.371,-81.3,29.47
63,Franklin County,1998,1993,0,-84.82,29.8
64,GUlf COunty,2001,1993,0,-85.24,29.9
65,Bonita SPrings,2001,1993,61.417,-81.7787,26.33981
66,Sanibel,1997,1993,27.958,-82.111511,26.443398
67,Anna Maria Island,2003,1993,50.947,-82.719,27.513
68,Bradenton ,1998,1993,63,-82.574821,27.498928
69,Golden Beach,1997,1993,63,-80.122481,25.964869
70,Miami Beach,2006,1993,62.755,-80.191788,25.761681
71,Sunny Isles Beach,2009,1993,63,-80.12166618,25.93832958
72,Village of Key Biscayne,2009,1993,59.542,-80.165059,25.6908507
73,Key West,1995,1993,58.038,-81.779984,24.555059
74,Marathon,1994,1993,48.86,-81.081161,24.723757
75,Monroe,1994,1993,0,-80.9372932,25.3128967
76,Village of Islamorada,1998,1993,30.396,-80.60816423,24.93482959
77,Destin,2004,1993,58.672,-86.495781,30.393534
78,Juno Beach,1998,1993,61.311,-80.05822,26.89307
79,Belleair Beach,2008,1993,61.294,-82.839377,27.924748
80,Clearwater,1999,1993,63,-82.796745,27.972572
81,Indian Shores,1994,1993,62.515,-82.83932998,27.85032993
82,Pinelals County,2004,1993,63,-82.74,27.9
83,Redington Shores,2007,1993,63,-82.8249967,27.82349671
84,St. Pete Beach,2007,1993,62.324,-82.741943,27.724722
85,Treasure Island,1999,1993,62.189,-82.759659,27.745003
86,St. Augustine Beach,1995,1993,60.131,-81.312431,29.901243
87,St. Johns County,1996,1993,47.143,-81.41,29.91
88,Santa Rosa,2005,1993,8.221,-86.2288322,30.3960324
89,City of Sarasota,1999,1993,62.725,-82.546144,27.3370523
90,Sarasota County,1997,1993,1.184,-82.3331489,27.166997
91,New Smyrna Beach,1999,1993,63,-82.528267,27.341274
92,Walton,2009,1993,61.419,-86.617928,30.418776
93,Bay County,2002,1994,53.5495,-85.63,30.24
94,Meixco Beach,2001,1994,18.7255,-85.406361,29.941336
95,Panama City Beach,2009,1994,58.796,-85.805489,30.176592
96,Dania Beach,2011,1994,63,-80.14393,26.05231
97,Deerfield Beach,2000,1994,63,-80.088615,26.329422
98,Fort Lauderdale,2003,1994,63,-80.137314,26.12243
99,Hallandale Beach,2001,1994,63,-80.146024,25.986719
100,Hillsboro Beach,2007,1994,61.931,-82.35,27.91
101,Hollywoord,2011,1994,63,-80.142967,26.01128
102,Lauderdale By the Sea,2002,1994,62.4375,-80.09643,26.19203
103,Pompano Beach,1999,1994,63,-80.122948,26.24354
104,Marco Island,1998,1994,59.2075,-81.714722,25.940556
105,Jacksonville beach,2000,1994,62.9675,-81.655647,30.332184
106,Neptune Beach,1999,1994,62.0685,-81.396606,30.312866
107,Escambia COunty,2013,1994,63,-87.240372,30.433283
108,Flagler COunty,2001,1994,1.875,-81.3,29.47
109,Franklin County,1998,1994,0,-84.82,29.8
110,GUlf COunty,2001,1994,0.197,-85.24,29.9
111,Bonita SPrings,2001,1994,61.8415,-81.7787,26.33981
112,Sanibel,1997,1994,26.7065,-82.111511,26.443398
113,Anna Maria Island,2003,1994,51.568,-82.719,27.513
114,Bradenton ,1998,1994,63,-82.574821,27.498928
115,Golden Beach,1997,1994,63,-80.122481,25.964869
116,Miami Beach,2006,1994,62.777,-80.191788,25.761681
117,Sunny Isles Beach,2009,1994,62.9625,-80.12166618,25.93832958
118,Village of Key Biscayne,2009,1994,57.6105,-80.165059,25.6908507
119,Key West,1995,1994,57.277,-81.779984,24.555059
120,Marathon,1994,1994,45.754,-81.081161,24.723757
121,Monroe,1994,1994,0.0845,-80.9372932,25.3128967
122,Village of Islamorada,1998,1994,34.195,-80.60816423,24.93482959
123,Destin,2004,1994,55.1445,-86.495781,30.393534
124,Juno Beach,1998,1994,57.952,-80.05822,26.89307
125,Belleair Beach,2008,1994,62.343,-82.839377,27.924748
126,Clearwater,1999,1994,63,-82.796745,27.972572
127,Indian Shores,1994,1994,61.9815,-82.83932998,27.85032993
128,Pinelals County,2004,1994,63,-82.74,27.9
129,Redington Shores,2007,1994,60.985,-82.8249967,27.82349671
130,St. Pete Beach,2007,1994,62.634,-82.741943,27.724722
131,Treasure Island,1999,1994,62.549,-82.759659,27.745003
132,St. Augustine Beach,1995,1994,62.746,-81.312431,29.901243
133,St. Johns County,1996,1994,42.4775,-81.41,29.91
134,Santa Rosa,2005,1994,6.586,-86.2288322,30.3960324
135,City of Sarasota,1999,1994,62.9735,-82.546144,27.3370523
136,Sarasota County,1997,1994,2.768,-82.3331489,27.166997
137,New Smyrna Beach,1999,1994,62.318,-82.528267,27.341274
138,Walton,2009,1994,62.6925,-86.617928,30.418776
139,Bay County,2002,1995,55.816,-85.63,30.24
140,Meixco Beach,2001,1995,21.482,-85.406361,29.941336
141,Panama City Beach,2009,1995,60.745,-85.805489,30.176592
142,Dania Beach,2011,1995,63,-80.14393,26.05231
143,Deerfield Beach,2000,1995,63,-80.088615,26.329422
144,Fort Lauderdale,2003,1995,63,-80.137314,26.12243
145,Hallandale Beach,2001,1995,63,-80.146024,25.986719
146,Hillsboro Beach,2007,1995,62,-82.35,27.91
147,Hollywoord,2011,1995,63,-80.142967,26.01128
148,Lauderdale By the Sea,2002,1995,62.86,-80.09643,26.19203
149,Pompano Beach,1999,1995,63,-80.122948,26.24354
150,Marco Island,1998,1995,62.163,-81.714722,25.940556
151,Jacksonville beach,2000,1995,63,-81.655647,30.332184
152,Neptune Beach,1999,1995,62.875,-81.396606,30.312866
153,Escambia COunty,2013,1995,63,-87.240372,30.433283
154,Flagler COunty,2001,1995,3.88,-81.3,29.47
155,Franklin County,1998,1995,0.269,-84.82,29.8
156,GUlf COunty,2001,1995,0.321,-85.24,29.9
157,Bonita SPrings,2001,1995,62.188,-81.7787,26.33981
158,Sanibel,1997,1995,31.283,-82.111511,26.443398
159,Anna Maria Island,2003,1995,51.86,-82.719,27.513
160,Bradenton ,1998,1995,62.813,-82.574821,27.498928
161,Golden Beach,1997,1995,62.692,-80.122481,25.964869
162,Miami Beach,2006,1995,63,-80.191788,25.761681
163,Sunny Isles Beach,2009,1995,63,-80.12166618,25.93832958
164,Village of Key Biscayne,2009,1995,59.519,-80.165059,25.6908507
165,Key West,1995,1995,59.481,-81.779984,24.555059
166,Marathon,1994,1995,53.157,-81.081161,24.723757
167,Monroe,1994,1995,0.171,-80.9372932,25.3128967
168,Village of Islamorada,1998,1995,34.865,-80.60816423,24.93482959
169,Destin,2004,1995,60.198,-86.495781,30.393534
170,Juno Beach,1998,1995,57.44,-80.05822,26.89307
171,Belleair Beach,2008,1995,62.7,-82.839377,27.924748
172,Clearwater,1999,1995,63,-82.796745,27.972572
173,Indian Shores,1994,1995,62.635,-82.83932998,27.85032993
174,Pinelals County,2004,1995,63,-82.74,27.9
175,Redington Shores,2007,1995,62.686,-82.8249967,27.82349671
176,St. Pete Beach,2007,1995,62.451,-82.741943,27.724722
177,Treasure Island,1999,1995,62.56,-82.759659,27.745003
178,St. Augustine Beach,1995,1995,62.896,-81.312431,29.901243
179,St. Johns County,1996,1995,50.694,-81.41,29.91
180,Santa Rosa,2005,1995,8.264,-86.2288322,30.3960324
181,City of Sarasota,1999,1995,63,-82.546144,27.3370523
182,Sarasota County,1997,1995,6.089,-82.3331489,27.166997
183,New Smyrna Beach,1999,1995,62.86,-82.528267,27.341274
184,Walton,2009,1995,63,-86.617928,30.418776
185,Bay County,2002,1996,55.204,-85.63,30.24
186,Meixco Beach,2001,1996,22.113,-85.406361,29.941336
187,Panama City Beach,2009,1996,61.692,-85.805489,30.176592
188,Dania Beach,2011,1996,63,-80.14393,26.05231
189,Deerfield Beach,2000,1996,62.791,-80.088615,26.329422
190,Fort Lauderdale,2003,1996,63,-80.137314,26.12243
191,Hallandale Beach,2001,1996,63,-80.146024,25.986719
192,Hillsboro Beach,2007,1996,63,-82.35,27.91
193,Hollywoord,2011,1996,63,-80.142967,26.01128
194,Lauderdale By the Sea,2002,1996,62.68,-80.09643,26.19203
195,Pompano Beach,1999,1996,62.957,-80.122948,26.24354
196,Marco Island,1998,1996,62.073,-81.714722,25.940556
197,Jacksonville beach,2000,1996,63,-81.655647,30.332184
198,Neptune Beach,1999,1996,62.493,-81.396606,30.312866
199,Escambia COunty,2013,1996,63,-87.240372,30.433283
200,Flagler COunty,2001,1996,2.578,-81.3,29.47
201,Franklin County,1998,1996,0,-84.82,29.8
202,GUlf COunty,2001,1996,0.692,-85.24,29.9
203,Bonita SPrings,2001,1996,62.563,-81.7787,26.33981
204,Sanibel,1997,1996,25.228,-82.111511,26.443398
205,Anna Maria Island,2003,1996,52.04,-82.719,27.513
206,Bradenton ,1998,1996,63,-82.574821,27.498928
207,Golden Beach,1997,1996,63,-80.122481,25.964869
208,Miami Beach,2006,1996,63,-80.191788,25.761681
209,Sunny Isles Beach,2009,1996,63,-80.12166618,25.93832958
210,Village of Key Biscayne,2009,1996,60.056,-80.165059,25.6908507
211,Key West,1995,1996,60.121,-81.779984,24.555059
212,Marathon,1994,1996,48.541,-81.081161,24.723757
213,Monroe,1994,1996,0.106,-80.9372932,25.3128967
214,Village of Islamorada,1998,1996,37.115,-80.60816423,24.93482959
215,Destin,2004,1996,60.378,-86.495781,30.393534
216,Juno Beach,1998,1996,57.617,-80.05822,26.89307
217,Belleair Beach,2008,1996,62.5,-82.839377,27.924748
218,Clearwater,1999,1996,63,-82.796745,27.972572
219,Indian Shores,1994,1996,62.962,-82.83932998,27.85032993
220,Pinelals County,2004,1996,63,-82.74,27.9
221,Redington Shores,2007,1996,63,-82.8249967,27.82349671
222,St. Pete Beach,2007,1996,63,-82.741943,27.724722
223,Treasure Island,1999,1996,63,-82.759659,27.745003
224,St. Augustine Beach,1995,1996,61.964,-81.312431,29.901243
225,St. Johns County,1996,1996,48.224,-81.41,29.91
226,Santa Rosa,2005,1996,10.981,-86.2288322,30.3960324
227,City of Sarasota,1999,1996,63,-82.546144,27.3370523
228,Sarasota County,1997,1996,6.073,-82.3331489,27.166997
229,New Smyrna Beach,1999,1996,63,-82.528267,27.341274
230,Walton,2009,1996,62.579,-86.617928,30.418776
231,Bay County,2002,1997,56.2805,-85.63,30.24
232,Meixco Beach,2001,1997,23.6415,-85.406361,29.941336
233,Panama City Beach,2009,1997,61.022,-85.805489,30.176592
234,Dania Beach,2011,1997,63,-80.14393,26.05231
235,Deerfield Beach,2000,1997,63,-80.088615,26.329422
236,Fort Lauderdale,2003,1997,63,-80.137314,26.12243
237,Hallandale Beach,2001,1997,62.9285,-80.146024,25.986719
238,Hillsboro Beach,2007,1997,62.225,-82.35,27.91
239,Hollywoord,2011,1997,63,-80.142967,26.01128
240,Lauderdale By the Sea,2002,1997,62.6715,-80.09643,26.19203
241,Pompano Beach,1999,1997,63,-80.122948,26.24354
242,Marco Island,1998,1997,61.5785,-81.714722,25.940556
243,Jacksonville beach,2000,1997,63,-81.655647,30.332184
244,Neptune Beach,1999,1997,61.209,-81.396606,30.312866
245,Escambia COunty,2013,1997,63,-87.240372,30.433283
246,Flagler COunty,2001,1997,4.017,-81.3,29.47
247,Franklin County,1998,1997,0,-84.82,29.8
248,GUlf COunty,2001,1997,1.2545,-85.24,29.9
249,Bonita SPrings,2001,1997,62.2085,-81.7787,26.33981
250,Sanibel,1997,1997,23.863,-82.111511,26.443398
251,Anna Maria Island,2003,1997,45.8955,-82.719,27.513
252,Bradenton ,1998,1997,63,-82.574821,27.498928
253,Golden Beach,1997,1997,62.628,-80.122481,25.964869
254,Miami Beach,2006,1997,62.9485,-80.191788,25.761681
255,Sunny Isles Beach,2009,1997,62.223,-80.12166618,25.93832958
256,Village of Key Biscayne,2009,1997,57.8195,-80.165059,25.6908507
257,Key West,1995,1997,60.193,-81.779984,24.555059
258,Marathon,1994,1997,45.326,-81.081161,24.723757
259,Monroe,1994,1997,0.0085,-80.9372932,25.3128967
260,Village of Islamorada,1998,1997,30.5685,-80.60816423,24.93482959
261,Destin,2004,1997,60.398,-86.495781,30.393534
262,Juno Beach,1998,1997,54.0015,-80.05822,26.89307
263,Belleair Beach,2008,1997,62.5895,-82.839377,27.924748
264,Clearwater,1999,1997,63,-82.796745,27.972572
265,Indian Shores,1994,1997,62.7905,-82.83932998,27.85032993
266,Pinelals County,2004,1997,63,-82.74,27.9
267,Redington Shores,2007,1997,62.7415,-82.8249967,27.82349671
268,St. Pete Beach,2007,1997,62.4405,-82.741943,27.724722
269,Treasure Island,1999,1997,62.9285,-82.759659,27.745003
270,St. Augustine Beach,1995,1997,61.2315,-81.312431,29.901243
271,St. Johns County,1996,1997,45.975,-81.41,29.91
272,Santa Rosa,2005,1997,10.0645,-86.2288322,30.3960324
273,City of Sarasota,1999,1997,62.813,-82.546144,27.3370523
274,Sarasota County,1997,1997,6.031,-82.3331489,27.166997
275,New Smyrna Beach,1999,1997,62.4585,-82.528267,27.341274
276,Walton,2009,1997,62.352,-86.617928,30.418776
277,Bay County,2002,1998,61.9225,-85.63,30.24
278,Meixco Beach,2001,1998,22.9205,-85.406361,29.941336
279,Panama City Beach,2009,1998,59.6735,-85.805489,30.176592
280,Dania Beach,2011,1998,63,-80.14393,26.05231
281,Deerfield Beach,2000,1998,63,-80.088615,26.329422
282,Fort Lauderdale,2003,1998,63,-80.137314,26.12243
283,Hallandale Beach,2001,1998,63,-80.146024,25.986719
284,Hillsboro Beach,2007,1998,61.516,-82.35,27.91
285,Hollywoord,2011,1998,63,-80.142967,26.01128
286,Lauderdale By the Sea,2002,1998,62.898,-80.09643,26.19203
287,Pompano Beach,1999,1998,63,-80.122948,26.24354
288,Marco Island,1998,1998,62.859,-81.714722,25.940556
289,Jacksonville beach,2000,1998,63,-81.655647,30.332184
290,Neptune Beach,1999,1998,62.995,-81.396606,30.312866
291,Escambia COunty,2013,1998,63,-87.240372,30.433283
292,Flagler COunty,2001,1998,2.0215,-81.3,29.47
293,Franklin County,1998,1998,0,-84.82,29.8
294,GUlf COunty,2001,1998,0.403,-85.24,29.9
295,Bonita SPrings,2001,1998,62.422,-81.7787,26.33981
296,Sanibel,1997,1998,22.5235,-82.111511,26.443398
297,Anna Maria Island,2003,1998,49.734,-82.719,27.513
298,Bradenton ,1998,1998,63,-82.574821,27.498928
299,Golden Beach,1997,1998,63,-80.122481,25.964869
300,Miami Beach,2006,1998,62.9645,-80.191788,25.761681
301,Sunny Isles Beach,2009,1998,63,-80.12166618,25.93832958
302,Village of Key Biscayne,2009,1998,58.241,-80.165059,25.6908507
303,Key West,1995,1998,57.4915,-81.779984,24.555059
304,Marathon,1994,1998,51.722,-81.081161,24.723757
305,Monroe,1994,1998,0,-80.9372932,25.3128967
306,Village of Islamorada,1998,1998,26.6865,-80.60816423,24.93482959
307,Destin,2004,1998,58.673,-86.495781,30.393534
308,Juno Beach,1998,1998,60.6525,-80.05822,26.89307
309,Belleair Beach,2008,1998,61.5925,-82.839377,27.924748
310,Clearwater,1999,1998,63,-82.796745,27.972572
311,Indian Shores,1994,1998,62.544,-82.83932998,27.85032993
312,Pinelals County,2004,1998,63,-82.74,27.9
313,Redington Shores,2007,1998,61.897,-82.8249967,27.82349671
314,St. Pete Beach,2007,1998,62.689,-82.741943,27.724722
315,Treasure Island,1999,1998,61.265,-82.759659,27.745003
316,St. Augustine Beach,1995,1998,61.514,-81.312431,29.901243
317,St. Johns County,1996,1998,45.819,-81.41,29.91
318,Santa Rosa,2005,1998,14.0975,-86.2288322,30.3960324
319,City of Sarasota,1999,1998,63,-82.546144,27.3370523
320,Sarasota County,1997,1998,8.3965,-82.3331489,27.166997
321,New Smyrna Beach,1999,1998,63,-82.528267,27.341274
322,Walton,2009,1998,62.987,-86.617928,30.418776
323,Bay County,2002,1999,60.9565,-85.63,30.24
324,Meixco Beach,2001,1999,24.896,-85.406361,29.941336
325,Panama City Beach,2009,1999,54.0555,-85.805489,30.176592
326,Dania Beach,2011,1999,63,-80.14393,26.05231
327,Deerfield Beach,2000,1999,63,-80.088615,26.329422
328,Fort Lauderdale,2003,1999,63,-80.137314,26.12243
329,Hallandale Beach,2001,1999,63,-80.146024,25.986719
330,Hillsboro Beach,2007,1999,62.8335,-82.35,27.91
331,Hollywoord,2011,1999,63,-80.142967,26.01128
332,Lauderdale By the Sea,2002,1999,62.6155,-80.09643,26.19203
333,Pompano Beach,1999,1999,63,-80.122948,26.24354
334,Marco Island,1998,1999,63,-81.714722,25.940556
335,Jacksonville beach,2000,1999,63,-81.655647,30.332184
336,Neptune Beach,1999,1999,62.9445,-81.396606,30.312866
337,Escambia COunty,2013,1999,62.818,-87.240372,30.433283
338,Flagler COunty,2001,1999,1.5235,-81.3,29.47
339,Franklin County,1998,1999,0,-84.82,29.8
340,GUlf COunty,2001,1999,0,-85.24,29.9
341,Bonita SPrings,2001,1999,62.35,-81.7787,26.33981
