,BayCounty,MeixcoBeach,PanamaCityBeach,CapeCanaveral,SatelliteBeach,DaniaBeach,DeerfieldBeach,FortLauderdale,HallandaleBeach,HillsboroBeach,Hollywoord,LauderdaleBytheSea,PompanoBeach,MarcoIsland,Jacksonvillebeach,NeptuneBeach,EscambiaCOunty,FlaglerCOunty,FranklinCounty,GUlfCOunty,HillsboroughCounty,Orchid,VeroBeach,BonitaSPrings,Sanibel,AnnaMariaIsland,Bradenton ,TownofJupiterIsland,GoldenBeach,MiamiBeach,SunnyIslesBeach,VillageofKeyBiscayne,KeyWest,Marathon,Monroe,VillageofIslamorada,Destin,JunoBeach,BelleairBeach,Clearwater,Dunedin,IndianROcks,IndianShores,MadeiraBeach,PinelalsCounty,RedingtonShores,St.PeteBeach,TreasureIsland,St.AugustineBeach,St.JohnsCounty,SantaRosa,CityofSarasota,SarasotaCounty,NewSmyrnaBeach,Walton
1/1/1992,51.813,13.5,60.444,62.692,59.875,62.118,63,63,63,61.846,63,63,63,61.789,63,62.735,63,3.8,0,0.529,63,16.923,63,62.889,30.167,54.438,63,63,63,63,63,54.789,56.778,57.842,0,24.286,60.125,59.059,63,63,63,63,62,62.624,63,63,63,63,60.941,46.917,7.744,63,1.813,63,62.313
1/1/1993,56.529,17.939,58.485,63,61.943,63,63,63,63,62.306,63,63,63,61.423,63,61.194,63,1.371,0,0,62.811,13.463,63,61.417,27.958,50.947,63,62.773,63,62.755,63,59.542,58.038,48.86,0,30.396,58.672,61.311,61.294,63,63,62.806,62.515,62.731,63,63,62.324,62.189,60.131,47.143,8.221,62.725,1.184,63,61.419
1/1/1994,53.5495,18.7255,58.796,60.445,58.6975,63,63,63,63,61.931,63,62.4375,63,59.2075,62.9675,62.0685,63,1.875,0,0.197,62.26,14.3135,62.4165,61.8415,26.7065,51.568,63,61.881,63,62.777,62.9625,57.6105,57.277,45.754,0.0845,34.195,55.1445,57.952,62.343,63,63,62.896,61.9815,62.558,63,60.985,62.634,62.549,62.746,42.4775,6.586,62.9735,2.768,62.318,62.6925
1/1/1995,55.816,21.482,60.745,61.109,57.78,63,63,63,63,62,63,62.86,63,62.163,63,62.875,63,3.88,0.269,0.321,62.857,18.935,63,62.188,31.283,51.86,62.813,62.854,62.692,63,63,59.519,59.481,53.157,0.171,34.865,60.198,57.44,62.7,63,63,62.843,62.635,62.721,63,62.686,62.451,62.56,62.896,50.694,8.264,63,6.089,62.86,63
1/1/1996,55.204,22.113,61.692,60.542,59.125,63,62.791,63,63,63,63,62.68,62.957,62.073,63,62.493,63,2.578,0,0.692,63,19.826,62.13,62.563,25.228,52.04,63,61.837,63,63,63,60.056,60.121,48.541,0.106,37.115,60.378,57.617,62.5,63,63,63,62.962,62.953,63,63,63,63,61.964,48.224,10.981,63,6.073,63,62.579
1/1/1997,56.2805,23.6415,61.022,61.7135,56.9295,63,63,63,62.9285,62.225,63,62.6715,63,61.5785,63,61.209,63,4.017,0,1.2545,62.6965,15.2375,62.293,62.2085,23.863,45.8955,63,62.8835,62.628,62.9485,62.223,57.8195,60.193,45.326,0.0085,30.5685,60.398,54.0015,62.5895,63,63,62.9565,62.7905,63,63,62.7415,62.4405,62.9285,61.2315,45.975,10.0645,62.813,6.031,62.4585,62.352
1/1/1998,61.9225,22.9205,59.6735,62.9715,60.0165,63,63,63,63,61.516,63,62.898,63,62.859,63,62.995,63,2.0215,0,0.403,62.625,19.852,62.6145,62.422,22.5235,49.734,63,62.133,63,62.9645,63,58.241,57.4915,51.722,0,26.6865,58.673,60.6525,61.5925,63,63,62.879,62.544,62.366,63,61.897,62.689,61.265,61.514,45.819,14.0975,63,8.3965,63,62.987
1/1/1999,60.9565,24.896,54.0555,59.5605,61.4065,63,63,63,63,62.8335,63,62.6155,63,63,63,62.9445,62.818,1.5235,0,0,63,21.2325,61.809,62.35,25.139,49.625,63,63,62.5385,62.155,62.844,53.344,56.202,58.69,0,26.8685,59.4755,61.4235,61.5855,63,63,63,62.2175,62.0215,63,60.76,63,61.0285,61.3565,41.26,17.0895,63,8.3835,63,63
1/1/2000,60.598,20.856,56.337,61.4105,57.85,63,62.7965,63,63,62.6905,63,60.9445,62.722,60.0405,62.9185,62.241,62.149,2.783,0.0865,0.1205,63,25.5855,62.9615,60.5635,18.92,48.593,63,62.9245,61.9645,62.519,61.625,50.674,48.687,51.3185,0.1295,23.3495,56.8475,59.173,62.1685,63,63,62.75,61.3295,62.243,63,59.892,62.354,61.866,62.6615,42.754,15.305,63,5.8625,63,61.7175
1/1/2001,60.8275,20.2765,55.749,61.4735,57.7455,63,62.502,63,63,63,63,62.555,63,62.0875,63,62.559,62.5625,2.8465,0,0,63,32.446,63,62.599,18.1285,50.934,63,62.2895,63,62.871,62.4735,57.2615,58.014,52.9195,0,24.232,54.4675,61.13,62.431,63,62.9835,62.9125,61.976,62.4335,63,61.5,62.746,60.835,62.189,38.203,16.1405,62.9445,5.9625,63,61.441
1/1/2002,58.8515,19.933,55.6615,62.8765,61.229,63,62.6455,62.98,62.837,62.742,62.8985,62.4175,62.969,61.6165,63,62.3855,63,1.5355,0.069,0.144,63,34.076,62.7335,62.631,20.258,49.714,62.869,62.0485,62.41,63,62.146,57.9735,58.955,48.4715,0.018,27.6805,56.463,58.333,60.866,62.703,62.789,62.7425,62.4455,62.1765,62.821,61.8815,62.523,61.627,62.3745,48.0225,16.7215,62.9475,5.4885,62.8525,61.983
1/1/2003,60.925,18.4795,56.2935,60.935,57.8505,62.9295,63,62.9575,63,62.8,63,62.547,63,62.135,62.788,60.9825,62.4075,2.6565,0.175,0.746,62.8,30.714,62.3,62.455,15.002,44.407,62.8705,62.612,62.627,62.0385,61.7025,55.104,58.2585,52.202,0,22.492,59.0825,60.092,60.3685,62.7145,62.8125,62.4485,61.1845,61.8355,62.825,60.782,61.8305,60.433,60.9955,37.162,14.1955,62.992,5.7435,63,62.848
1/1/2004,58.1595,15.8215,55.3955,61.8665,56.52,62.7295,62.7285,63,62.9445,63,63,62.107,63,62.4855,62.508,59.3265,61.215,3.9015,0,0.2735,63,35.9185,62.7885,62.8585,17.3635,40.1875,62.845,62.681,62.3915,62.2245,62.268,55.4075,58.9235,47.3565,0,21.734,53.397,58.28,58.687,63,63,62.5675,61.293,61.857,63,60.799,61.5885,60.5545,60.4675,36.789,13.1615,62.9765,4.9805,63,60.571
1/1/2005,58.0155,13.155,49.3415,60.508,57.9175,61.2665,60.7975,62.325,62.3945,62.7155,61.3355,60.3185,61.3675,58.746,62.666,60.8735,62.6485,2.6215,0.1715,0.225,62.681,34.806,61.2155,62.154,13.17,40.8355,62.623,61.1535,61.8375,59.693,61.86,52.118,54.46,43.4265,0,18.398,48.9155,57.292,58.6885,63,62.9645,62.638,56.9875,59.971,63,57.511,61.52,57.9865,60.446,33.772,14.5555,62.1025,5.026,62.494,61.3205
1/1/2006,58.6235,16.5945,54.883,60.7385,57.206,62.3385,62.7095,62.404,62.153,63,62.1955,61.0255,62.623,59.7025,62.918,61.406,62.2415,4.348,1.1885,0.0615,63,36.294,62.9525,62.8405,13.17,42.5635,63,63,61.081,61.534,60.4375,52.793,55.5145,47.8995,0.025,18.808,53.366,57.624,58.2985,62.419,62.7855,61.7865,59.401,61.033,62.9755,59.262,61.804,59.595,61.4855,33.0685,15.944,62.7275,4.342,63,60.6365
1/1/2007,57.3575,18.374,49.7565,60.387,56.1225,62.148,62.2085,62.5275,62.894,61.521,62.139,60.178,62.5,57.8825,62.108,59.1375,62.526,3.2445,0.07,0.5895,61.873,36.329,61.3315,60.843,14.4255,40.5665,62.912,61.0945,60.99,60.017,59.775,52.3335,52.371,48.6145,0.023,19.487,51.8855,55.1055,59.2565,62.8775,62.755,62.0415,60.1745,59.673,63,58.071,59.508,57.218,58.561,32.339,17.757,61.875,4.6605,62.1665,61.647
1/1/2008,61.8725,19.1025,43.905,59.7065,58.0295,63,62.8015,63,62.9785,63,63,62.4855,63,59.1375,63,62.72,62.029,2.6375,0.813,0.0655,63,40.7275,62.721,63,14.9335,45.6525,63,62.618,62.787,60.75,62.1205,54.8825,54.9765,53.603,0.0945,20.0695,51.6265,61.078,60.746,63,63,61.8,60.022,59.2325,62.9765,57.5155,60.8335,54.5575,61.42,33.548,20.487,62.61,3.5155,62.7155,61.7085
1/1/2009,57.2,18.719,59.115,60.063,52.121,63,63,61.853,63,63,63,61.343,63,62.622,63,60.294,63,8.206,0.233,0,63,32.531,62.871,63,14.286,39.629,63,63,62.788,63,62,55.647,58.375,51.294,0,29.116,60.731,56.46,61.059,63,63,61.248,62.245,60.794,63,59.526,59.199,57.382,60.875,50.613,18.692,63,2.19,63,63
1/1/2010,60.769,24.482,61.882,61.439,47.455,63,62.922,62.906,63,63,62.742,60.318,63,61.39,62.885,59.534,63,14.502,0.942,0.419,63,43.529,62.864,63,18.559,54.672,63,62.813,61.954,63,61.188,57.783,55.304,52.052,0,27.61,61.234,52.597,63,63,63,63,62.65,62.625,63,62.093,62.866,62.59,61.045,55.924,27.492,63,2.65,63,62.787
1/1/2011,62.596,21.118,59.455,62.868,59.551,63,63,63,63,63,63,62.871,63,61.317,63,62.951,63,4.764,0.339,0,63,43.308,62.745,63,17,49.564,63,63,63,62.985,63,59.903,61.083,49.892,0,27.238,59.309,61.288,59.037,63,63,62,60.807,61.804,63,61.123,62.627,59.667,62.93,48.037,19.273,63,4.727,63,63
1/1/2012,62.267,22.255,59.553,63,62.587,63,63,63,63,63,62.93,63,63,60.929,63,62.522,63,5.364,0.304,0,63,43.457,63,63,15.644,54.566,63,63,62.778,63,62.782,61.286,62.683,42,0.218,36.579,62.005,62.472,58.627,63,63,62.196,61.041,62.163,63,62.288,61.926,58.135,62.59,51.227,20.303,62.824,4.3,63,63
1/1/2013,59.51,20.071,59.24,60.2,57.983,63,63,63,63,62.523,63,62.727,63,61.73,63,62.19,63,8.696,0,0,62.594,43.169,61.793,62.885,18.295,48.185,62.262,63,62.783,62.908,62.826,59.277,59.945,52.206,0,26.75,56.8,60.45,61.847,62.733,62.508,62.446,61.323,61.936,62.623,61.53,61.484,60.219,61.513,44.679,24.576,62.855,7.098,62.836,61.855
